Algorithm,Size,Distribution,Run,TimeMillis
Merge,10000,Reversed,14,0
Merge,10000,Reversed,15,0
Merge,10000,Reversed,16,1
Merge,10000,Reversed,17,0
Merge,10000,Reversed,18,0
Merge,10000,Reversed,19,0
Merge,10000,Reversed,20,1
Merge,10000,Reversed,21,1
Merge,10000,Reversed,22,0
Merge,10000,Reversed,23,0
Merge,10000,Reversed,24,0
Merge,10000,Reversed,25,0
Merge,10000,Reversed,26,1
Merge,10000,Reversed,27,0
Merge,10000,Reversed,28,0
Merge,10000,Reversed,29,0
Merge,10000,Reversed,30,0
